StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8,Q9_1_x,Q9_1_y
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We are interested in understanding [STUDY TOPIC].  You will be presented with information relevant to [STUDY TOPIC] and asked to answer some questions about it. Please be assured that your responses will be kept completely confidential.  



The study should take you around [SURVEY DURATION IN MINUTES] to complete, and you will receive [INCENTIVE] for your participation.   Your participation in this research is voluntary. You have the right to withdraw at any point during the study, for any reason, and without any prejudice. If you would like to contact the Principal Investigator in the study to discuss this research, please e-mail [NAME AND EMAIL ADDRESS]. 



By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.



Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device.",Please select your gender.,Please select your age range.,What is your preferred vacation destination?,"From the activity you most enjoy to the activity you enjoy the least, please order the activities you like to engage in when traveling to the [QID5-ChoiceGroup-SelectedChoices]. - Hiking","From the activity you most enjoy to the activity you enjoy the least, please order the activities you like to engage in when traveling to the [QID5-ChoiceGroup-SelectedChoices]. - Biking","From the activity you most enjoy to the activity you enjoy the least, please order the activities you like to engage in when traveling to the [QID5-ChoiceGroup-SelectedChoices]. - Camping","From the activity you most enjoy to the activity you enjoy the least, please order the activities you like to engage in when traveling to the [QID5-ChoiceGroup-SelectedChoices]. - Sun bathing","From the activity you most enjoy to the activity you enjoy the least, please order the activities you like to engage in when traveling to the [QID5-ChoiceGroup-SelectedChoices]. - Swimming","From the activity you most enjoy to the activity you enjoy the least, please order the activities you like to engage in when traveling to the [QID5-ChoiceGroup-SelectedChoices]. - Boating","When deciding where to travel, you - consider travel time.","When deciding where to travel, you - consider cost.","When deciding where to travel, you - are motivated by whether the destination is ""instagrammable"".",When was the last time you traveled to the [QID5-ChoiceGroup-SelectedChoices]?,"The last time you traveled to the [QID5-ChoiceGroup-SelectedChoices], where did you go?  Click the approximate location on the map. - 1 - X","The last time you traveled to the [QID5-ChoiceGroup-SelectedChoices], where did you go?  Click the approximate location on the map. - 1 - Y"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10"",""point"":1,""coord"":""x""}","{""ImportId"":""QID10"",""point"":1,""coord"":""y""}"
2022-09-01 04:52:10,2022-09-01 04:52:16,Survey Preview,,100,6,True,2022-09-01 04:52:17,R_33EEtn29qy6tG7t,,,,,41.4377,-81.5487,preview,EN,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 04:52:24,2022-09-01 04:53:05,Survey Preview,,100,41,True,2022-09-01 04:53:06,R_bfsPCv2jfoAlkGJ,,,,,41.4377,-81.5487,preview,EN,"I consent, begin the study",Female,40+,beach,,,,2,1,3,Never,Sometimes,Always,,,
2022-09-01 04:53:45,2022-09-01 04:54:23,Survey Preview,,100,37,True,2022-09-01 04:54:24,R_324UB1jmJ7498pg,,,,,41.4377,-81.5487,preview,EN,"I consent, begin the study",Prefer not to say,21 - 40,mountains,3,2,1,,,,Never,Never,Always,,,
2022-09-01 05:03:55,2022-09-01 05:04:01,Survey Preview,,100,5,True,2022-09-01 05:04:01,R_wTwAnThPdEsbB3b,,,,,41.4377,-81.5487,preview,EN,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:15:05,2022-09-01 05:15:57,Survey Preview,,100,51,True,2022-09-01 05:15:58,R_xxA9rhHabuUSeTD,,,,,41.4377,-81.5487,preview,EN,"I consent, begin the study",Prefer not to say,21 - 40,beach,,,,,,,Sometimes,Never,Always,between 1 and 10 years ago,590,177
2022-09-01 05:18:03,2022-09-01 05:18:51,Survey Preview,,100,47,True,2022-09-01 05:18:52,R_3KqBMCEcJ5YWo4h,,,,,41.4377,-81.5487,preview,EN,"I consent, begin the study",Non-binary / third gender,0 - 20,mountains,3,1,2,,,,Always,Sometimes,Always,between 1 and 10 years ago,483,173
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_2l3oLoN0UqfXLvw,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Non-binary / third gender,40+,beach,,,,3,1,2,Always,Always,Never,less than a year ago,466,84
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_eKU7PZgCAEOkkL4,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_0xnKRhBMsSLHKQe,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Female,40+,mountains,3,1,2,,,,Never,Never,Sometimes,between 1 and 10 years ago,961,127
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_bdBQt8WFSmJt8Ng,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_0THFdylJBe3gqSa,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_3W2zgInrHTNsslw,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Prefer not to say,21 - 40,mountains,1,3,2,,,,Sometimes,Never,Always,more than 11 years ago,256,118
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_7WCb0W1mtXVLPqC,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:27,R_8iEiUGx3z33rqaG,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:27,2022-09-01 05:24:27,Survey Test,,100,0,True,2022-09-01 05:24:28,R_8vNS45cfxgwQoMm,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Prefer not to say,21 - 40,mountains,2,1,3,,,,Sometimes,Never,Never,less than a year ago,787,155
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_5usoJq5yVDBjMi2,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_b2D9cIgYP1Be8aG,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0jiDvIc2AdFSXVY,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0SNC88I8d0vtI58,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Female,21 - 40,beach,,,,3,1,2,Sometimes,Never,Always,more than 11 years ago,709,154
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_9Zx4J9ymFuMikku,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_7UJ0scBVOGPfKt0,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Female,0 - 20,mountains,2,3,1,,,,Sometimes,Never,Sometimes,more than 11 years ago,8,8
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0JPhmeBxKVHrpWe,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_4It50pU1QaYPWVo,,,,,41.4377,-81.5487,test,,"I consent, begin the study",Non-binary / third gender,0 - 20,mountains,3,2,1,,,,Sometimes,Sometimes,Sometimes,more than 11 years ago,562,359
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_0vnXFVXaahXMqOy,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:28,2022-09-01 05:24:28,Survey Test,,100,0,True,2022-09-01 05:24:28,R_6fDtVI6Nkp6dZZA,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
2022-09-01 05:24:29,2022-09-01 05:24:29,Survey Test,,100,0,True,2022-09-01 05:24:29,R_9zZm5M1n7aNloTs,,,,,41.4377,-81.5487,test,,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,
